Summary,Issue key,Issue Type,Status,Priority,Reporter,Creator,Created,Updated,Description,Environment,Watchers,Watchers3,Watchers Id,Watchers Id4,Watchers Id5,Watchers Id6,Watchers Id7,Custom field (Customer Benefit),Custom field (Customer Contact Details),Custom field (Customer Impact),Custom field (Customer/s),Custom field (Customer_id),Custom field (Customers),Custom field (Customers Preferred Email Address),Custom field (Delivery progress),Custom field (Module),Custom field (Module)8,Custom field (The problem we are trying to solve is),Custom field (The why for MWI AH),Custom field (Theme),Custom field (To Version - Build),Custom field (Total forms),Custom field (Type of Testing),Custom field (UAT Instance Provisioned),Custom field (URL),Custom field (Upgrade type),Custom field (Vulnerability),Custom field (WF Host),Custom field (What is the current impact of not having this available?),Custom field (What is the success criteria?),Status Category Changed
"In merlin we have composites, is there anyway that merlin can intergrate with smartflow for these composites",CE-234,Idea,Closed,Major,Bruce Wood,Bruce Wood,18/05/2021 15:28,10/10/2022 11:45,"

Description of the Request:

For merlin to work with smartflow for composite items

What is the current impact of not having this available?

Not able to bill through smartflow

How would you like this to work? (please provide a step by step workflow):

Merlin uses the composites and can send them to smartflow and vis-versa

What would be the benefit of having this feature?

Save a lot of time, incorrect pricing of patients make smartflow and merlin easier to use",,Bruce Wood,Craig Herrington,5eed35472b9c4c0abf036ff6,5ecfbfd00e595d0c34457af8,,,,,,,Assisi Vets,,,,,,,,,,,,,,,,,,|Not able to bill through smartflow|,,10/10/2022 11:45
Ability to edit the deceased date of an animal when using charity mode,CE-233,Idea,Idea Pipeline,Major,Christien Cull,Christien Cull,18/05/2021 14:57,08/12/2022 08:05,"Currently it locks to the date you euthanize the animal.

Un-like when not in Charity mode, you can edit the deceased date to any date of the user choosing.",,Craig Herrington,Micheal Aderinto,5ecfbfd00e595d0c34457af8,625a831556e5a8006ddb7b2f,62e0eb6c3780798663d07fcf,,,Improved user experience,,,Blue Cross,,,,,,,,,,,,,,,,,,Un-able to pick any date for when an animal is deceased as in charity mode the system uses the current date when the Decease Animal button is selected.  ,,18/05/2021 14:57
Share Barcodes Between Sites,CE-232,Idea,Idea Pipeline,Major,Jake Thompson,Jake Thompson,18/05/2021 09:41,07/12/2022 13:37,"Add an option in Merlin to share product barcodes entered in code entry with other sites.

Currently, barcodes must be entered manually in code entry for each individual site on the system.",,,,,,,,,Improved workflow,,,Milton Keynes Veterinary Group (SR),,,,,,,,,,,,,,,,,,"Barcodes only function at one site, or need to be entered five times onto the system",,18/05/2021 09:41
Send pay link to client from accounts screen,CE-231,Idea,Closed,Major,Barend Seegers,Barend Seegers,17/05/2021 15:32,03/10/2022 11:46,Send pay link to client from accounts screen,,Barend Seegers,,5eed3549b364ce0abe776564,,,,,Improved workflow,,,Ashley Veterinary Hospital (M),,,,,,,,,,,,,,,,,,having to do it manually or via an accounts letter on merlin,,03/10/2022 11:46
The option to prevent the display of vets name on invoices and statement,CE-230,Idea,Idea Pipeline,Major,Kaci Penfold,Kaci Penfold,14/05/2021 15:33,08/12/2022 08:14,The option to prevent the display of vets name on invoices and statement,,,,,,,,,,,,VP - Donview Veterinary Centre M,,,,,,,,,,,,,,,,,,"Often the vet who charges an item isn't the vet in charge of the case (they may just be on call that night), we have had a major complaint suggesting lack of continuity because it is often other staff members who charge (eg nurses, vets on call etc), and the invoice makes it look like there is no case continuity when there is",,14/05/2021 15:33
GDPR - 'Confirm Details' existing options vs. Library Settings,CE-229,Idea,Closed,Major,James Bird,James Bird,14/05/2021 09:48,18/07/2022 11:35,"
1.  Select a client where the GDPR agreement is due to expire (yellow tab).
2.  Click 'Confirm Details are Correct' (See attached 'Update Data Consent.jpg')
3.  Selections retain previous values, which is to be expected however there are certain issues here.
– Some items are hidden/inactive/newly added in the library so the data consent entries have changed this can cause an issue if the practice makes changes to their libraries and will not be reflected in the clients details.
– The history button shows the rolled over values, whereas the main screen shows the newly configured library *(previously been raised on MERLIN-24071).*
- The Consent Method is also rolled over, despite being marked as inactive *(previously been raised on MERLIN-24069).*

",,Craig Herrington,Eduardo Soroa Pina,5ecfbfd00e595d0c34457af8,5e9ebb27fd4e200c185ea007,5eed2c06a228c50ab951b6bf,,,Improved user experience,,,Blue Cross,,,,,,,,,,,,,,,,,,The current impact of this is that previous data consent permissions are being set based on historic permission and not updating to the new data consent permissions being checked. This means that incorrect permission are being set against clients in certain circumstances.,,18/07/2022 11:35
Add a sort feature in the Log Off Users to arrange users alphabetically ,CE-228,Idea,Idea Pipeline,Major,Christian Thompson,Christian Thompson,13/05/2021 17:54,08/12/2022 07:37,"	
To be able to sort the Log Off Users screen by the login column",,Christian Thompson,,5eed354353e5390aba8f16b6,,,,,,,,Blue Cross Burford,,,,,,,,,,,,,,,,,,The column cannot be sorted by the login column and it’s not possible to (easily) see if a user is logged in more than once without scrolling up and down the window.,,13/05/2021 17:54
Create report to show stable address for equine clients ,CE-227,Idea,Closed,Major,Christian Thompson,Christian Thompson,13/05/2021 15:46,12/01/2022 16:17,"
	
Anna Orange

13 May 2021, 14:04 BST

Hi all, 

Please see below: 








Description of the Request:






Create a report that will show the stable addresses for clients who have equine patients
- This will need to include:
     client's address & postcode
     number of horses/ponies registered at the practice
     and the animals age
    (As well as the stable/ yard address)
What is the current impact of not having this available? The marketing team are currently unable to determine the location of our clients horses in relation to the practice and also other competitors. Unlike small animal clients, equines are unlikely to reside at a clients residential property meaning we are unable to segment and target clients based on their geographic location. 



How would you like this to work? (please provide a step by step workflow): Ideally, the practice should be able to pull a report adding filters to allow us to identify the above, however, I understand this can already be done? Apolgies I have no access to the PMS. However, I understand there is currently no area for the register yard to be added to the client/animals profile. This would ideally would just need to be an additional field within the PMS to add in the yards postcode. When pulling a report this would be added in as an additional field alongside the other client and animals data. 



What would be the benefit of having this feature?
 By identifying yards/stables where clients are present will allow for the correct marketing strategy to be implemented e.g if we have a yard where 90% of the equine registered clients are over the age of 10 a campaign aimed at a senior audience can be launched leading to more leads and ROI than targeting a yard that has a younger audience. Similarly, we will be able to identify trends such as lapsing clients at yard level which again provides the opportunity for a more targeted campaign, amongst others. It will also provide a central access point for the equine practices to be able to pull this data, currently, I assume this data is being held off the PMS which potentially poses a security risk?  

",,Christian Thompson,,5eed354353e5390aba8f16b6,,,,,,,,IVC Wendover Heights Vet Centre (Equine),,,,,,,,,,,,,,,,,,"The marketing team are currently unable to determine the location of our clients horses in relation to the practice and also other competitors. Unlike small animal clients, equines are unlikely to reside at a clients residential property meaning we are unable to segment and target clients based on their geographic location. 
",,18/05/2021 12:30
Ability to exclude insurance records from Debtors,CE-225,Idea,Idea Pipeline,Major,Pratima Gurung,Pratima Gurung,13/05/2021 13:15,07/12/2022 14:25,"Ability to exclude clients with insurance records from Debtors list
",,Micheal Aderinto,Pratima Gurung,625a831556e5a8006ddb7b2f,5eed354270fb110aba57b4fa,,,,Additional functionality,,,Ashley Veterinary Hospital ,,,,,,,,,,,,,,,,,,Cannot email a set of clients with no insurance in one go have to do several emails out to clients and sort through them.  Cannot run debtors list for just those without ins.,,13/05/2021 13:15
Include Patient Yard Address on Patient Label,CE-223,Idea,Idea Pipeline,Major,Jake Thompson,Jake Thompson,13/05/2021 11:53,07/12/2022 14:20,"""Inserting yard address on patient label for equine patients""

Customer would like to see an option added in Merlin to allow a patient's yard address to be featured on a patient label when printed",,Craig Herrington,Eduardo Soroa Pina,5ecfbfd00e595d0c34457af8,5e9ebb27fd4e200c185ea007,,,,Improved workflow,,,Warren House Veterinary Centre,,,,,,,Save time,,,,,,,,,,,"""Having to spend 10 minutes per call filling in details by hand tying up phones and receptionists""

Customer has explained they are currently writing these details manually for clients",,13/05/2021 11:53
Importing accounts information directly to a patients accounts,CE-221,Idea,Idea Pipeline,Major,Pratima Gurung,Pratima Gurung,30/04/2021 15:55,07/12/2022 13:25,Importing of external accounting information directly to a clients accounts within Merlin (not HCP),,Craig Herrington,Eduardo Soroa Pina,5ecfbfd00e595d0c34457af8,5e9ebb27fd4e200c185ea007,625a831556e5a8006ddb7b2f,5eed354270fb110aba57b4fa,,Additional functionality,,,Blue Cross Animal Hospital ,,,,,,,,,,,,,,,,,,Unable to import accounting information (i.e. external direct debit) directly to client account in Merlin,,30/04/2021 15:55
Home Delivery Phase 2 - Invoicing,CE-353,Idea,Idea Pipeline,Major,Jordan Cottee,Jordan Cottee,30/04/2021 10:57,11/07/2022 11:46,,,Susannah Watkiss,,5eff0aeba62a720b98d89c8a,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/02/2022 11:12
Product Analytics -Merlin,CE-354,Idea,Closed,Major,Jordan Cottee,Jordan Cottee,30/04/2021 10:52,03/10/2022 11:52,Implement Product Analytics on the Merlin Platform.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/10/2022 11:52
When viewing lab results a range in included like when the results are normal or low,CE-220,Idea,Closed,Major,Bruce Wood,Bruce Wood,29/04/2021 14:07,12/01/2022 16:17,"When a result is high, the result will turn red but no reference ranges is displayed.

If the result is normal or low then the range is displayed.",,Bruce Wood,,5eed35472b9c4c0abf036ff6,,,,,Improved user experience,,,IVC - Hart Veterinary Centre (Bicester - M),,,,,,,,,,,,,,,,,,Makes viewing the results harder,,18/05/2021 12:42
Debtors for last seven days only ,CE-219,Idea,Closed,Major,Oscar Waldorf,Oscar Waldorf,28/04/2021 11:36,12/01/2022 16:17,Running Debtors for last seven days only to be able to then email/post ,,Oscar Waldorf,,5eed3546e145af0ab4a603b1,,,,,Additional functionality,,,Westfield Veterinary Centre,,,,,,,,,,,,,,,,,,It is hard to keep control of the debt and knowing that all invoices for unpaid work are received as quickly as possible.,,18/05/2021 12:43
create folders option in internal messaging in Merlin ,CE-218,Idea,Closed,Major,Oscar Waldorf,Oscar Waldorf,27/04/2021 15:28,06/12/2022 09:26,To have the option to create folders in internal messaging in Merlin ,,Craig Herrington,Oscar Waldorf,5ecfbfd00e595d0c34457af8,5eed3546e145af0ab4a603b1,,,,Additional functionality,,,Victoria Veterinary Centre (M),,,,,,,,,,,,,,,,,,To many messages we want to save in inbox that we need to troll through,,06/12/2022 09:26
Patient filter to be removed ,CE-217,Idea,Idea Pipeline,Major,Aimee Pearce,Aimee Pearce,26/04/2021 11:00,08/12/2022 07:23,"When searching for a patient, the system will only show that one patient, can it please show all the patients linked to that client



Multiple sites reported  ",,Aimee Pearce,Craig Herrington,5eed3545022ed00ab7740308,5ecfbfd00e595d0c34457af8,5eff0aeba62a720b98d89c8a,,,Improved workflow,,,"Assisi Veterinary Group, Ashley Veterinary Hospital, VP - Wyre Forest Veterinary Centre, Kriek and Gibson, VP - M Nelson, Pet Vet Ltd, PDSA",,,,,,,,,,,,,,,,,,"If you have a client that wants to order lots of meds for different patients, you have to clear the search and re-start again, rather than just clicking on reception and finding your patient",,21/12/2021 13:38
Insurance Payments,CE-216,Idea,Idea Pipeline,Major,Barend Seegers,Barend Seegers,23/04/2021 14:18,07/12/2022 14:25,"	
if we could have a payment screen that simplified insurance payments that come in.  For example, we may have two or three insurance claims running for a client, when the payments come in from the insurance company it would be good if we could allocate them (like now) by seeing the insurance number and it would be even better if there was some sort of supporting screen that showed the deductions that had been made (i.e. a claim was submitted and outstanding on the account for £200, the insurance company paid £150 with a £50 excess deducted so we have a screen that shows the claim was £50 short of being paid off).  We can spend many hours unpicking the accounts screen for clients to establish what is outstanding for them to pay and what is still on insurance etc.",,Barend Seegers,Micheal Aderinto,5eed3549b364ce0abe776564,625a831556e5a8006ddb7b2f,,,,Additional functionality,,,Damory ,,,,,,,,,,,,,,,,,,"

This is a very big impact for us.  We process approx 150-200 insurance claims per month.  Of which 90% of these are direct claims with insurance companies (meaning the balance of the treatment remains on Merlin awaiting payment from the insurance company).  When a payment comes in from the insurance, it is impossible to see what the payment should be allocated to, as the insurance number is not visible on the payment screen (problem 1).  This means it takes a long time to determine payment allocation (especially when there are multiple pets and claims) and often results in errors on allocation.  The next issue comes to advising clients on what is owed against that insurance claim as all of the payment and claims details are in with all the other account data, so you cant just click on a claim and see what was paid and what is as a result owed by the client.  This results in many man hours working backwards through accounts to unpick insurance payments, non-insured items to be paid etc.  In some cases where clients have multiple pets with multiple insurance conditions we have had to resort to a manual spreadsheet to cater for the lack of clarity on Merlin and now due to the time to manual method is taking we are having to stop some direct claims and insist on clients paying in advance (not good customer service).",,23/04/2021 14:18
Bank Transfers,CE-215,Idea,Idea Pipeline,Major,Barend Seegers,Barend Seegers,23/04/2021 14:13,07/12/2022 13:26,"	
We receive so many bank transfers now that we have someone spending many hours each day reading bank statements and paying off amounts on Merlin.  It would be really good if we could load a CSV of the payments made and as most of the time people use the client or patient ID numbers or invoice numbers on the payments, Merlin could show a screen of who it believes the payments should go to.  We can then simply tick and agree or manually assign the unknown or incorrect ones.  ",,Barend Seegers,Craig Herrington,5eed3549b364ce0abe776564,5ecfbfd00e595d0c34457af8,,,,Additional functionality,,,Damory,,,,,,,,,,,,,,,,,,"This would save so much time each day.

We employ someone on a daily basis to manually search and apply each of the bank transfers that come into us.  This is a time-consuming process.",,23/04/2021 14:13
Emailing of Monthly Invoices,CE-214,Idea,Idea Pipeline,Major,Barend Seegers,Barend Seegers,23/04/2021 14:07,07/12/2022 13:43,"	
Specify an email address specifically for invoices to be sent to as often these are different to what is normally used for other communications.  Having the option for STATEMENT/INVOICES under the email section of a clients record would be perfect. ",,Barend Seegers,Craig Herrington,5eed3549b364ce0abe776564,5ecfbfd00e595d0c34457af8,,,,Additional functionality,,,Damory,,,,,,,,,,,,,,,,,,"Currently we have farm and equine clients that like to specift different email addresses for different purposes (i.e. email for farm office for invoices, but reminders to go elsewhere).  As we cant do this we have to resort to manually sending these via email or just use the post",,23/04/2021 14:08
Report wizard code view ,CE-237,Idea,Idea Pipeline,Minor,Aimee Pearce,Aimee Pearce,23/04/2021 14:06,08/12/2022 05:37,"INTRODUCTION

When going into the report wizard area of the system, selecting a code, it doesn't show the full code name (Attached image) 
There is no scroll bar or even if zooming in unable to see the whole wording of the codes 

WORK REQUIRED

Increase the size of the window/contents of the window as per screenshot mockup attached ‘increasewindow’.jpg

Apply this to the following report wizard popups:

# Client Category
# Client Site
# PatientCategory
# Specis
# Breed
# Sex
# Colour
# Treatment Type
# Treatment Code
# Work Site
# Category Type
# Reminders Type",,,,,,,,,Improved workflow,,5 - Not In Production,Delta Limited (Roborough Vets),,,,,,,,,,,,,,,,,,,,23/04/2021 14:06
Pop up note option specific to the individual patients  ,CE-213,Idea,Discovery,Major,Oscar Waldorf,Oscar Waldorf,23/04/2021 13:41,07/12/2022 13:45,"Wanting a patient note pop up option when clicking in to individual patients 
",,Craig Herrington,Eduardo Soroa Pina,5ecfbfd00e595d0c34457af8,5e9ebb27fd4e200c185ea007,5eed3546e145af0ab4a603b1,,,Additional functionality,,,Rase Veterinary Centre (M),,,,,,,,,,,,,,,,,,"Makes it harder to track any health conditions /allergies etc for clients with multiple pets
",,18/07/2022 12:03
Creating Availability option to have a default to turn send reminder option on or off ,CE-212,Idea,Idea Pipeline,Major,Oscar Waldorf,Oscar Waldorf,23/04/2021 12:10,08/12/2022 07:56,"	
Option for when creating availability to have a default to turn the send reminder option on or off.",,Craig Herrington,Micheal Aderinto,5ecfbfd00e595d0c34457af8,625a831556e5a8006ddb7b2f,5eed3546e145af0ab4a603b1,,,Improved workflow,,,VP - Damory Veterinary Clinic,,,,,Communications (Email/SMS/Reminders/Internal),,,,,,,,,,,,,"Currently we only send email/text reminders from Merlin for our operations.  However as the option to 'Send Reminders' is always defaulted to ticked when setting up availability in the diary, we often have reminders being sent to those by mistake as the tick has not been removed.",,23/04/2021 12:10
Add Merlin users username to Statements,CE-211,Idea,Closed,Major,Christian Thompson,Christian Thompson,22/04/2021 14:58,03/10/2022 11:55,Add the logged in Merlin users name to generated/ printed Statements,,Christian Thompson,,5eed354353e5390aba8f16b6,,,,,Improved Reporting,,,Powis & Partners,,,,,,,,,,,,,,,,,,We currently have a problem with Merlin users logging their work under the wrong operator name. This means that when we audit work by user we can't accurately assess what work each operator has done. We need the consult assistant to be able to check the client statement when taking payment that the correct operator has been recorded. The print copy is generated remotely from the vet (operator) and they don't have access to a workstation so the only way they could check the operator record is by using the paper copy of the statement. Is it possible to have an option to add this information to the statement?,,03/10/2022 11:55
API Change Request - treatment history responses,CE-210,Idea,Closed,Major,Aimee Pearce,Aimee Pearce,21/04/2021 11:26,22/02/2022 13:09,"Can we please ask that the treating vet id and name be added to the treatment history responses? We believe this would be PractitionerId and Practitioner from VET_TreatmentItem. This will improve the ability to analyse survey reviews, and is a critical blocker preventing PetPlan integration from being used in Merlin. It’s also currently a regression from Voyager->Merlin as this is available in Voyager.",,Aimee Pearce,Nick Henry,5eed3545022ed00ab7740308,5ed5160d322f9a0c1cf4dab5,,,,,,,iRecall,,,,,,,,,,,,,,,,,,"The customer review can not be connected back to the consulting vet, which hinders the ability to assess staff performance.
Petplan insurance leads require knowledge of who is doing the introduction, which we can’t currently see so we’re unable to offer the PetPlan integration to Merlin customers. This is of particular interest to IVC who have also requested this change.",,22/02/2022 13:09
Health Plan Info in API,CE-209,Idea,Closed,Major,Aimee Pearce,Aimee Pearce,21/04/2021 11:25,03/10/2022 12:43,"Can we please have the health plan joining date of the currently active health plan (if one is active). We currently see whether the patient is on a health plan, and the name of the plan, but knowing when they joined is something we currently use in Voyager.",,Aimee Pearce,Micheal Aderinto,5eed3545022ed00ab7740308,625a831556e5a8006ddb7b2f,5eed2c15a6a7110ab57d358c,,,,,,iRecall,,,,,,,,,,,,,,,,,,"Not seeing health plan joining dates means we can’t offer any annual reminders, welcome packs or other timely information related to their health plan membership. This is something we can do for Voyager so we have to withdraw these services when a customer migrates from Voyager to Merlin",,03/10/2022 11:47
Enabling Sigma by default,CE-208,Idea,Closed,Major,Aimee Pearce,Aimee Pearce,21/04/2021 11:22,03/10/2022 11:46,"The schedulers that process new sigma API are currently disabled by default, meaning we have to request they be activated for each group during roll-out and future migrations. Is it possible for these to be enabled by default for all existing and future groups please, so as to simplify the on-boarding process",,Aimee Pearce,Steven Freitas,5eed3545022ed00ab7740308,5eed2c15a6a7110ab57d358c,,,,,,,Virtual Recall ,,,,,,,,,,,,,,,,,,"Every new group that needs to use the sigma API must be manually requested and enabled, adding to the workflow and potentially delaying the onboarding.",,03/10/2022 11:46
Messaging Maintenance issues ,CE-226,Idea,Closed,Minor,Aimee Pearce,Aimee Pearce,20/04/2021 16:44,18/05/2021 12:57,"When creating a Messaging group, previously it would just filter available users from that practice group, to add to the messaging group. 

However, now it is no longer filtering and will allow me to add multiple users to the messaging group, not just refined to the practice

Steps: 
1. Log into Any IVC site (EG towerwood) 
2. Administration > Messaging Maintenance
3.  Shows all Messaging groups regardless of which site attached image",,Aimee Pearce,Joseph Drake-Wood,5eed3545022ed00ab7740308,5eed2c0bdefde70abc83655f,,,,,,4 - No Business Impact,IVC,,,,,,,,,,,,,,,,,,,,18/05/2021 12:57
Integration to be added for XRay images -  Eickemeyer,CE-207,Idea,Closed,Major,James Bird,James Bird,20/04/2021 12:03,05/12/2022 08:46,"Peacock Vets (St Francis Group) are looking to integrate XRay with Voyager.
The file sizes would be too large for FileWatcher, after discussion with Jordan was advised to raise a CE for Jordan and Paul to have a discussion with Eickemeyer.

Contacts below.


----------------------------------------
From: Eickemeyer - David Morley <d.morley@eickemeyer.co.uk>
 Sent: 12 April 2021 08:35
 To: Noah Payne <NPayne@mwiah.co.uk>
 Subject: Merlin IT info - Dicom for Xray images

Good Morning

I trust that you are well and looking forward to the restrictions being lifted 😊

Please see correspondence below between Iris Kestemont (Peacock Vets) myself and our X-Ray support. As you will see we require some further detail from the Merlin software to be able to send the images from X-Ray machine via DICOM to it. 

Can you help me or put me in contact with someone who can?

Many thanks

David Morley
Key Account Executive (North East Sales Manager)
M   07398 972624
..........................................................................................................
Eickemeyer Veterinary Equipment Ltd.
3 Windmill Business Village
Brooklands Close 
Sunbury-on-Thames
TW16 7DY, Surrey 
T   020 8891 2007
F   020 8891 2686
E   d.morley@eickemeyer.co.uk


From: Eickemeyer - Vidas Uska <v.uska@eickemeyer.de>
 Sent: Montag, 12. April 2021 09:23
 To: Eickemeyer - David Morley <d.morley@eickemeyer.co.uk>
 Subject: AW: deliveries and IT info

Hi Dave,

Thank you for information. But I need more details.
This is general information from computer, but we need information about Merlin.

What “Merlin” is? Is it PACS and support Dicom? Does it have it database to store X-ray images? 

If it works with Dicom interface, so we need:

AE Title, Port number, IP address of “Merlin”.

Also Merlin support have to enter (usually) AE Title, Port number, IP address of VXvue program to here software (to exchange details to get connection between programs). 

Kind regards
Vidas

",,Craig Batten,James Bird,5efde30524882a0bb5fed089,5eed2c06a228c50ab951b6bf,5eed2c15a6a7110ab57d358c,,,Improved user experience,,,The Peacocks Veterinary Clinic,,,,,,,,,,,,,,,,,,,,03/10/2022 11:45
HCP to automatically end when a patient is euthanised,CE-206,Idea,Discovery,Major,Kaci Penfold,Kaci Penfold,19/04/2021 14:12,07/12/2022 13:20,"When a pet is euthanised, the HCP should be automatically ended.
We also request a report function that allows us to identify all clients with pet's who were on a monthly HCP but were euthanised, this will allow us to easily identify which direct debits to cancel.",,Micheal Aderinto,Yaraslava Tkachova,625a831556e5a8006ddb7b2f,62e0eb6c3780798663d07fcf,,,,Improved workflow,,,Voo Veterinary Practice (S) (M),,,,,,,,,,,,,,,,,,Clients are being charged for HCPs after the passing of their pet which can be very upsetting and has resulted in complaints.,,04/06/2021 16:01
Set communication types to pre-ticked in data consent ,CE-205,Idea,Closed,Major,Christian Thompson,Christian Thompson,19/04/2021 09:12,18/07/2022 12:00,"In the marketing preferences tick box section, have the ability to make only certain ones pre-ticked i.e. post only for appointment reminders",,Christian Thompson,Craig Herrington,5eed354353e5390aba8f16b6,5ecfbfd00e595d0c34457af8,5e9ebb27fd4e200c185ea007,,,Improved user experience,,,Blue Cross Animal Hospital (Burford),,,,,,,,,,,,,,,,,,At present it is possible to set all to be opt in/ pre ticked but not certain ones,,18/07/2022 12:00
Client Acceptance box to be a mandatory field/ tick box,CE-204,Idea,Closed,Major,Christian Thompson,Christian Thompson,19/04/2021 08:57,07/12/2022 11:01,"	
To make the client acceptance tick box mandatory so that the user has to tick this when registering a client so that data consent methods have been agreed",,Christian Thompson,Craig Herrington,5eed354353e5390aba8f16b6,5ecfbfd00e595d0c34457af8,5e9ebb27fd4e200c185ea007,,,Improved workflow,,,Blue Cross Animal Hospital (Burford),,,,,,,,,,,,,,,,,,Users can leave this screen without setting the client marketing preferences,,07/12/2022 11:01
On the weight chart the distance between each weight is based on timescale rather than equal distance,CE-203,Idea,Closed,Major,Bruce Wood,Bruce Wood,15/04/2021 14:34,12/01/2022 16:17,"
In previous PMS Animana the x axis was shown as proportionate to time to allow a better understanding of weight change over time

 example from Animan attached
",,Bruce Wood,,5eed35472b9c4c0abf036ff6,,,,,Improved user experience,,,IVC - Downland Vet Grp (Emsworth - M),,,,,,,,,,,,,,,,,,With the x axis equal distance harder to see passage of time,,28/07/2021 10:37
Allow PDF files to be uploaded into Code Entry Docs,CE-202,Idea,Idea Pipeline,Major,Christian Thompson,Christian Thompson,14/04/2021 10:32,08/12/2022 12:47,"Add the file type, .pdf, as an acceptable file type for uploading forms in the code entry section of a drug, as a printable consent form/ document. This is currently set to.doc or .docx only",,Christian Thompson,Micheal Aderinto,5eed354353e5390aba8f16b6,625a831556e5a8006ddb7b2f,62e0eb6c3780798663d07fcf,,,,,,oathall,,,,,,,,,,,,,,,,,,"In order to get the BSAVA Medicines information leaflets onto the codes, so vets can easily request a printed version when prescribing that drug,  I need to convert the png version of each one individually to word. That is time consuming, and the png/word versions are not as clear and sharp when printed as a pdf one would be.",,14/04/2021 10:32
Enable data fields for reception SMS templates,CE-201,Idea,Idea Pipeline,Major,Jake Thompson,Jake Thompson,12/04/2021 13:57,07/12/2022 13:44,"""Data fields for reception SMS templates""

James from Kings Road Vets has explained that he would very much like data fields to be an option when creating SMS templates for reception use. Currently, data fields cannot be used when sending a text to a client from reception, meaning staff have to locate and enter relevant client data manually.",,,,,,,,,Improved user experience,,,Anderson (Kings Road Veterinary Surgery),,,,,,,,,,,,,,,,,,"""Added administration time for reception""

The information available via data fields for other types of messages must be entered manually when sending from reception and can be much more time-consuming.",,12/04/2021 13:57
Allowing more data to be used by smart flow,CE-200,Idea,Idea Pipeline,Major,Aimee Pearce,Aimee Pearce,09/04/2021 14:19,08/12/2022 08:20,"Allow more data to be used by Smartflow 

Email received:
Please could you let me know if there are plans to allow more data to be used by Smartflow? At present, we have to enter all of the client address details onto the consent form, etc manually. I have been informed by Smartflow that the system now accepts that data from Merlin but would require some work from yourselves to allow the transfer.",,Aimee Pearce,,5eed3545022ed00ab7740308,,,,,,,,The Brook Veterinary Surgery,,,,,,,,,,,,,,,,,,"The current impact means that the integration between the 2 systems is not operating at an optimal level. The data is available in Merlin and the same data is receivable in Smartflow but due to older requirements, said data is not transferred. This means that already available data that could be populated has to be entered manually, thus costing time and decreasing efficiency.",,09/04/2021 14:19
Format of DOB to be changeable via button,CE-199,Idea,Idea Pipeline,Major,Susannah Watkiss,Susannah Watkiss,09/04/2021 13:03,07/12/2022 15:34,"•	Would it be possible to change the way we see ages for animals, so we can see weeks/days instead of months/days?  Maybe if there was a button or something that would let us change from one format to the other?  (Obviously you're not going to want an age broken down into weeks for older animals!)

I'm just thinking this would be useful for new pups.  Just now we have to manually check the date of birth and count 10 weeks on the calendar to find out when they're old enough for 2nd vaccinations because it's not always clear from the age when it's given in months.  It's not a massive thing but it would be useful to be able to see at a glance. & away to display d.o.b on the text/information bar at the bottom


Message from Robertson and Orr above",,Craig Herrington,Micheal Aderinto,5ecfbfd00e595d0c34457af8,625a831556e5a8006ddb7b2f,5eff0aeba62a720b98d89c8a,,,Improved user experience,,,robertson and orr,,,,,,,,,,,,,,,,,,Troublesome when booking pups/kittens for precisely times vaccs,,09/04/2021 13:03
Daily sales Export for Account Software Import,CE-198,Idea,Idea Pipeline,Major,Steven Freitas,Steven Freitas,01/04/2021 15:04,07/12/2022 13:27,"Daily Sales CSV Export to include a column for Client Categories to show.
Customer will use this to export and then import into Sage",,Craig Herrington,Micheal Aderinto,5ecfbfd00e595d0c34457af8,625a831556e5a8006ddb7b2f,5eed2c15a6a7110ab57d358c,62e0eb6c3780798663d07fcf,,Additional functionality,,,Hird & Partners,,,,,,,,,,,,,,,,,,"Hird & Partners currently use the categories to produce their internal management accounts which are split into these different categories. Due to Making Tax Digital VAT, the exemption for a digital link has been removed so we need to include all of the sales as individual line items within Sage which requires the import of the Daily Sales spreadsheet as detailed by yourselves below. Without these client categories, Hirds will be unable to produce their management accounts how they wish.",,01/04/2021 15:04
Option to change HCP patient's discount treatment colour on Merlin system,CE-197,Idea,Idea Pipeline,Major,Pratima Gurung,Pratima Gurung,01/04/2021 10:53,08/12/2022 07:18,"Option to edit HCP discount colour
",,Craig Herrington,Eduardo Soroa Pina,5ecfbfd00e595d0c34457af8,5e9ebb27fd4e200c185ea007,5eed354270fb110aba57b4fa,,,Additional functionality,,,Riverside Vets Ltd,,,,,,,,,,,,,,,,,,Eye strain ,,01/04/2021 10:53
Add additional feature on diary for booking appointments ,CE-196,Idea,Idea Pipeline,Major,Pratima Gurung,Pratima Gurung,01/04/2021 08:17,08/12/2022 07:56,Can diary appointment have an option to only “appear” at a specified time,,Craig Herrington,Eduardo Soroa Pina,5ecfbfd00e595d0c34457af8,5e9ebb27fd4e200c185ea007,5eed354270fb110aba57b4fa,,,Improved workflow,,,VP - Lynwood Veterinary Group (Main),,,,,Diary/Daylists,,Time saving ( UX),,,,,,,,,,,"Appointments get filled with routine work leaving none on the day for urgent cases. Unavailable slots are ignored or we forget to open these up on the day for urgent cases. If they automatically became available on the day this would help workflow massively

",,01/04/2021 08:17
